drawing,source_id,assoc_type,target_id
C025-V-HA24-P-_E-001-01,SD5BE34FA531F2F9E0EB4DCA7DA9068,is logical start of,S7C9D0C3AD59A68B715E1A8F65D63F3
C025-V-HA24-P-_E-001-01,SD5BE34FA531F2F9E0EB4DCA7DA9068,is located in,S8B6DF0C4876DA7F79D27885EE2ECD8
C025-V-HA24-P-_E-001-01,SAD81F06857B45DD79744A3E6C30B05,is a part of,S3A303B27FF01BC599FC0B56BCC0D09
C025-V-HA24-P-_E-001-01,SAD81F06857B45DD79744A3E6C30B05,is logical start of,S87C88924CB4FE5AC572A69038246FA
C025-V-HA24-P-_E-001-01,S5D3B27D205C3FC196F03858E28BD75,is a part of,SD363AEFE20C4DD4CF9EF6C6C245B27
C025-V-HA24-P-_E-001-01,S5D3B27D205C3FC196F03858E28BD75,is logical start of,S9052EC62C82A658B8C2E26F2898B3F
C025-V-HA24-P-_E-001-01,S3D1CE26C26FCEFB3A1927C1AB3B538,is a part of,S78CF9CF46E7C9CB71A180E30FA8D85
C025-V-HA24-P-_E-001-01,S3D1CE26C26FCEFB3A1927C1AB3B538,is logical end of,SDACFA257895A78152313956666D0C6
C025-V-HA24-P-_E-001-01,SDACFA257895A78152313956666D0C6,has logical start,SE71D1D99732C62D247F92546224B02
C025-V-HA24-P-_E-001-01,SDACFA257895A78152313956666D0C6,has logical end,S3D1CE26C26FCEFB3A1927C1AB3B538
C025-V-HA24-P-_E-001-01,SE71D1D99732C62D247F92546224B02,is logical start of,SDACFA257895A78152313956666D0C6
C025-V-HA24-P-_E-001-01,SE71D1D99732C62D247F92546224B02,is located in,S53D9E777F32A35F9EE2805DBF38138
C025-V-HA24-P-_E-001-01,SF6C39D06B1CC66846230914282C5E0,is a part of,S48C2E6F491A29A80B19E6BC0C54A75
C025-V-HA24-P-_E-001-01,SF6C39D06B1CC66846230914282C5E0,is logical end of,S9D3C042180A58894F904D406D01826
C025-V-HA24-P-_E-001-01,S2F73E2F34CF7ECE96115C938E6CACD,is a part of,S291E6BF2F7A1BDBB8A662CDCDFE44D
C025-V-HA24-P-_E-001-01,S2F73E2F34CF7ECE96115C938E6CACD,is logical start of,SBBEE325DD3B3E8C145364AA8E1EB31
